,Movie_title,First_Criterion,Second_Criterion,Third_Criterion,release_date,budget,voting,original_language
0,Clerks,0.0,0.0,0.0,1994-09-13,27000.0,7.4,en
0,Repo Man,1.0,1.0,0.0,1984-02-20,1500000.0,6.7,en
0,Bound,1.0,1.0,1.0,1996-09-13,4500000.0,6.9,en
0,Taking Lives,1.0,0.0,0.0,2004-03-19,45000000.0,6.0,en
0,Bones,1.0,0.0,0.0,2001-10-24,10000000.0,4.3,en
0,Liar Liar,1.0,1.0,0.0,1997-03-21,45000000.0,6.4,en
0,xXx,1.0,0.0,0.0,2002-08-09,70000000.0,5.8,en
0,While She Was Out,1.0,1.0,1.0,2008-10-27,6000000.0,4.8,en
0,Predator,0.0,0.0,0.0,1987-06-11,18000000.0,7.3,en
0,Dead Poets Society,1.0,0.0,0.0,1989-06-02,16400000.0,8.1,en
0,Reindeer Games,0.0,0.0,0.0,2000-02-25,42000000.0,5.3,en
0,Sex and the City,1.0,1.0,1.0,2008-05-12,65000000.0,6.0,en
0,An Education,1.0,1.0,1.0,2009-10-29,7500000.0,6.9,en
0,We Own the Night,1.0,0.0,0.0,2007-05-25,21000000.0,6.5,en
0,Hanna,1.0,1.0,0.0,2011-04-07,30000000.0,6.5,en
0,Prom Night,1.0,1.0,0.0,1980-07-18,1000000.0,6.0,en
0,Ticker,1.0,0.0,0.0,2001-01-01,7000000.0,3.6,en
0,Confessions of a Dangerous Mind,1.0,1.0,1.0,2002-12-30,30000000.0,6.6,en
0,Notting Hill,1.0,1.0,1.0,1999-05-13,42000000.0,7.0,en
0,Fast Times at Ridgemont High,1.0,1.0,1.0,1982-08-13,4500000.0,7.0,en
0,Up,0.0,0.0,0.0,2009-05-13,175000000.0,7.8,en
0,Source Code,1.0,1.0,0.0,2011-03-30,32000000.0,7.1,en
0,Paul,1.0,1.0,0.0,2011-02-14,40000000.0,6.5,en
0,Drive Angry,1.0,1.0,0.0,2011-02-24,50000000.0,5.3,en
0,The Last Station,1.0,1.0,1.0,2009-09-04,0.0,6.7,en
0,Pleasantville,1.0,1.0,1.0,1998-09-17,0.0,7.1,en
0,Drive,1.0,0.0,0.0,2011-08-06,15000000.0,7.4,en
0,Cradle 2 the Grave,1.0,0.0,0.0,2003-02-28,25000000.0,5.8,en
0,Ed Wood,1.0,1.0,1.0,1994-09-27,18000000.0,7.3,en
0,30 Minutes or Less,1.0,0.0,0.0,2011-08-11,28000000.0,5.6,en
0,The Replacements,0.0,0.0,0.0,2000-08-07,0.0,6.2,en
0,American Pie,1.0,1.0,1.0,1999-07-09,11000000.0,6.4,en
0,The French Connection,0.0,0.0,0.0,1971-10-09,1800000.0,7.4,en
0,White Squall,0.0,0.0,0.0,1996-02-02,38000000.0,6.3,en
0,Arbitrage,1.0,1.0,1.0,2012-09-14,12000000.0,6.1,en
0,Final Destination 2,1.0,1.0,1.0,2003-01-31,26000000.0,5.9,en
